Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option	14.1751
Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option	11.2958
Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option	10.1557
Franklin India Banking & PSU Debt Fund - Direct - Growth	23.4537
Franklin India Banking & PSU Debt Fund - Growth	22.4578
Franklin India Banking and PSU Debt Fund - Direct - IDCW 	11.6057
Franklin India Banking and PSU Debt Fund - IDCW 	10.9782
HDFC Banking and PSU Debt Fund - Growth Option	23.0933
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan	24.0361
HDFC Banking and PSU Debt Fund - IDCW Option	10.3111
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan	10.071
HSBC Banking and PSU Debt Fund - Direct Daily IDCW	11.1907
HSBC Banking and PSU Debt Fund - Direct Growth	25.5724
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW	11.4636
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW	10.3684
HSBC Banking and PSU Debt Fund - Regular Daily IDCW	11.116
HSBC Banking and PSU Debt Fund - Regular Growth	24.2865
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10.7402
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.3407
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	34.1457
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	13.0846
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth	32.7682
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	11.0827
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305
Invesco India Banking and PSU Fund - Daily IDCW (Reinvestment)	1048.8345
Invesco India Banking and PSU Fund - Direct Plan -  Growth Option	2436.4641
Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment)	1063.2073
Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1021.3026
Invesco India Banking and PSU Fund - Growth Option	2276.6137
Invesco India Banking and PSU Fund - Monthly IDCW (Payout / Reinvestment)	1065.6326
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option	13.3486
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option	13.3496
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option	13.0150
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option	13.0161
Kotak Banking and PSU Debt - Annual Dividend	16.1842
Kotak Banking and PSU Debt - Daily Dividend Reinvestment	10.188
Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment	10.2604
Kotak Banking and PSU Debt - Growth	65.6319
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option	12.3307
Kotak Banking and PSU Debt Direct - Annual Dividend	17.1427
Kotak Banking and PSU Debt Direct - Growth	68.3592
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option	10.338
LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW	14.3176
LIC MF Banking & PSU Fund-Direct Plan-Growth	37.6665
LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW	14.1857
LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW	10.0621
LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW	11.2644
LIC MF Banking & PSU Fund-Regular Plan-Growth	34.9426
LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW	13.0777
LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW	10.394
